timestamp,image_filename,predicted_label,confidence,feedback
2026-06-21 13:16:45,360_F_447651703_Vn9GtLDPktVqzMPRB5lATVmjaDp2elLc.jpg,Not Flooded,50.38%,Wrong
2026-06-21 13:17:12,floods_real_pillars.jpg,Not Flooded,52.81%,Wrong
2026-06-21 13:17:48,images (1).jpg,Not Flooded,53.35%,Wrong
2026-06-21 13:18:18,0c808c5b-537e-472e-b160-a5684ded13bc_1920x1080.jpg,Not Flooded,57.07%,Wrong
2026-06-21 13:18:46,UVMDrones_Waterbury-11July2023a-min-768x576.jpg,Not Flooded,56.15%,Wrong
2026-06-21 13:19:38,images (2).jpg,Not Flooded,50.70%,Wrong
2026-06-22 01:54:00,WhatsApp Image 2026-06-21 at 14.48.54.jpeg,Not Flooded,56.29%,Correct
2026-06-22 02:01:59,aerial-view-of-flooding-on-jalan-dewi-sri-kuta-bali-after-heavy-rain-feb-24-2026-drone-footage-shows-submerged-streets-traffic-disruption-urban-flood-conditions-free-video.jpg,Flooded,59.54%,Correct
2026-06-22 11:31:54,aerial-view-of-flooding-on-jalan-dewi-sri-kuta-bali-after-heavy-rain-feb-24-2026-drone-footage-shows-submerged-streets-traffic-disruption-urban-flood-conditions-free-video.jpg,Not Flooded,53.72%,Wrong
2026-06-22 11:32:07,WhatsApp Image 2026-06-21 at 14.48.54.jpeg,Flooded,51.99%,Wrong
2026-06-22 11:32:22,WhatsApp Image 2026-06-18 at 15.10.30.jpeg,Not Flooded,52.68%,Correct
2026-06-22 11:33:16,13092020-david-st-loh-7-sekinchan-paddy-fields-in-kuala-selangor_cover_2000x1047.jpg,Flooded,52.81%,Wrong
2026-06-22 11:34:12,drone-footage-perai-flood-riverbank-houses-and-roads-video.jpg,Flooded,51.05%,Correct
2026-06-22 11:46:16,WhatsApp Image 2026-06-22 at 11.42.27.jpeg,Flooded,50.64%,Wrong
2026-06-22 11:58:37,2025_04_04_NS_0110_Oroville_Scouting_DRONE.jpg,Flooded,51.62%,Wrong
2026-06-22 12:05:31,Makkah_Ramadhan_1447_H_Tahun_2026.jpg,Not Flooded,54.15%,Correct
2026-06-22 12:06:38,images (1).jpg,Flooded,58.77%,Correct
2026-06-22 12:32:16,Transforming-Disaster-Response-1024x401.jpg,Flooded,59.72%,Correct
2026-06-22 12:33:21,56f0c1f4-1a28-4ff7-9199-e17624823bdb-Dronep6.png,Not Flooded,55.76%,Wrong
2026-06-22 12:35:52,475200976_1013026284193773_4917925732418412656_n.jpg,Flooded,57.77%,Correct
2026-06-22 12:36:47,475120640_1013026064193795_6999038288001027971_n.jpg,Flooded,60.13%,Correct
2026-06-22 12:37:16,475206452_1013026264193775_335348575348103424_n.jpg,Flooded,56.20%,Correct
2026-06-22 12:37:54,475211449_1013026274193774_2970391738036396010_n.jpg,Flooded,50.29%,Correct
2026-06-22 12:38:22,475123430_1013026084193793_7749839654002514640_n.jpg,Flooded,53.96%,Correct
2026-06-22 12:38:47,475227712_1013026177527117_18873939697450048_n.jpg,Not Flooded,51.26%,Wrong
2026-06-22 12:39:09,475106940_1013026024193799_383563558580866237_n.jpg,Flooded,60.53%,Correct
2026-06-22 12:46:05,588007969.jpg,Flooded,54.29%,Wrong
2026-06-23 13:27:32,475120640_1013026064193795_6999038288001027971_n.jpg,Flooded,76.19%,Correct
2026-06-23 14:18:59,475227712_1013026177527117_18873939697450048_n.jpg,Not Flooded,52.71%,Wrong
2026-06-23 14:19:42,588007969.jpg,Flooded,51.83%,Wrong
2026-06-23 14:20:01,drone-footage-perai-flood-riverbank-houses-and-roads-video.jpg,Not Flooded,56.42%,Wrong
2026-06-23 14:20:17,WhatsApp Image 2026-06-21 at 14.48.54.jpeg,Not Flooded,61.10%,Correct
